is_pluie,is_weekend,is_ferie,mois,k_moyen,jour,population,meteo_temp_min,meteo_temp_moy,jour_semaine_num,q_moyen,trimestre,meteo_temp_max,semaine_annee,meteo_precipitations,trafic_eleve,annee,ratio_saturation,saison_ete,saison_hiver,saison_printemps,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday
0,0,0,10,2.1294876785714285,18,84310,12.7,14.1,4,149.70833333333334,4,15.3,42,0.2,0,2024,0.0141298601840515,0,0,0,0,0,0,0,0,0
0,0,0,10,9.985464166666668,18,35837,12.7,14.1,4,169.73214285714286,4,15.3,42,0.2,0,2024,0.058486140919708544,0,0,0,0,0,0,0,0,0
0,0,0,10,9.985464166666668,18,35837,12.7,14.1,4,169.73214285714286,4,15.3,42,0.2,0,2024,0.058486140919708544,0,0,0,0,0,0,0,0,0
0,0,0,10,9.985464166666668,18,35837,12.7,14.1,4,169.73214285714286,4,15.3,42,0.2,0,2024,0.058486140919708544,0,0,0,0,0,0,0,0,0
0,0,0,10,11.38915113095238,18,57934,12.7,14.1,4,265.2202380952381,4,15.3,42,0.2,0,2024,0.042780936612632756,0,0,0,0,0,0,0,0,0
0,0,0,10,11.38915113095238,18,57934,12.7,14.1,4,265.2202380952381,4,15.3,42,0.2,0,2024,0.042780936612632756,0,0,0,0,0,0,0,0,0
0,0,0,10,11.38915113095238,18,57934,12.7,14.1,4,265.2202380952381,4,15.3,42,0.2,0,2024,0.042780936612632756,0,0,0,0,0,0,0,0,0
0,0,0,10,3.96222,18,35837,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
0,0,0,10,3.96222,18,27547,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
0,0,0,10,3.96222,18,27547,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
0,0,0,10,11.38915113095238,18,15207,12.7,14.1,4,265.2202380952381,4,15.3,42,0.2,0,2024,0.042780936612632756,0,0,0,0,0,0,0,0,0
0,0,0,10,4.06334,18,19979,12.7,14.1,4,1054.2440476190477,4,15.3,42,0.2,1,2024,0.003850616366108043,0,0,0,0,0,0,0,0,0
0,0,0,10,4.06334,18,19979,12.7,14.1,4,1054.2440476190477,4,15.3,42,0.2,1,2024,0.003850616366108043,0,0,0,0,0,0,0,0,0
0,0,0,10,4.06334,18,19979,12.7,14.1,4,1054.2440476190477,4,15.3,42,0.2,1,2024,0.003850616366108043,0,0,0,0,0,0,0,0,0
1,0,0,10,13.579416071428572,17,15207,16.3,16.8,3,983.345238095238,4,19.1,42,47.1,1,2024,0.013795379452137633,0,0,0,0,0,0,1,0,0
